deployment_name,platform_type,status
deployment_name,platform_type,status
PerthCanyonA20140213,slocum_glider,delayed_mode
PerthCanyonB20140213,slocum_glider,delayed_mode
Pilbara20140211,slocum_glider,delayed_mode
TwoRocks20140213,slocum_glider,delayed_mode
Kimberley20140204,slocum_glider,delayed_mode
Leeuwin20131017,seaglider,delayed_mode
StormBay20140108,slocum_glider,delayed_mode
Yamba20140325,slocum_glider,delayed_mode
Leeuwin20140319,seaglider,delayed_mode
StormBay20140326,slocum_glider,delayed_mode
Kimberley20140408,slocum_glider,delayed_mode
Lizard20140430,seaglider,delayed_mode
Pilbara20140520,slocum_glider,delayed_mode
StormBay20140613,slocum_glider,delayed_mode
SpencerGulf20140605,slocum_glider,delayed_mode
Yamba20140624,slocum_glider,delayed_mode
TwoRocks20140808,slocum_glider,delayed_mode
Kimberley20140812,slocum_glider,delayed_mode
GAB20140916,seaglider,delayed_mode
Leeuwin20140901,seaglider,delayed_mode
Yamba20140915,slocum_glider,delayed_mode
Pilbara20140912,slocum_glider,delayed_mode
StormBay20140903,slocum_glider,delayed_mode
Kimberley20140926,slocum_glider,delayed_mode
SpencerGulf20141010,slocum_glider,delayed_mode
StormBay20141017,slocum_glider,delayed_mode
Lizard20141105,seaglider,delayed_mode
TwoRocks20141111,slocum_glider,delayed_mode 
Pilbara20141119,slocum_glider,delayed_mode
StormBay20141120,slocum_glider,delayed_mode
SpencerGulf20141127,slocum_glider,delayed_mode
Heron20141127,slocum_glider,completed
Leeuwin20150203,seaglider,completed
TwoRocks20150203,slocum_glider,completed
StormBay20150205,slocum_glider,completed
Yamba20150210,slocum_glider,completed
Leeuwin20150305,seaglider,completed
TwoRocks20150305,slocum_glider,completed
Leeuwin20150309,seaglider,completed
Pilbara20150311,slocum_glider,completed
Kimberley20150312,slocum_glider,completed
GAB20150410,seaglider,completed
Yamba20150416,slocum_glider,completed
SpencerGulf20150416,slocum_glider,completed
Heron20150421,slocum_glider,completed
StormBay20150429,slocum_glider,completed
Kimberley20150520,slocum_glider,completed
Heron20150521,slocum_glider,completed
SpencerGulf20150528,slocum_glider,completed
TwoRocks20150526,slocum_glider,completed
Lizard20150530,seaglider,completed
Yamba20150601,slocum_glider,completed
StormBay20150616,slocum_glider,completed
StormBay20150825,slocum_glider,completed
TwoRocks20150918,slocum_glider,completed
StormBay20151006,slocum_glider,completed
TwoRocks20151014,slocum_glider,completed
Heron20151021,slocum_glider,completed
GBR20151103,slocum_glider,completed
Yamba20151110,slocum_glider,completed
AIMS20151127,slocum_glider,completed
Cairns20151130,slocum_glider,completed
Portland20160128,slocum_glider,completed
Lizard20160217,seaglider,in_progress
Cooktown20160217,slocum_glider,completed
Portland20160229,slocum_glider,in_progress
BassStrait20160302,slocum_glider,in_progress
GAB20160311,seaglider,youpi
